actividad	sujeto	TimeDomain_BodyAccelerometer_Mean_X	TimeDomain_BodyAccelerometer_Mean_X.1	TimeDomain_BodyAccelerometer_Mean_X.2	TimeDomain_BodyAccelerometer_Mean_X.3	TimeDomain_BodyAccelerometer_Mean_X.4	TimeDomain_BodyAccelerometer_Mean_X.5	actividad.1	actividad.2	actividad.3	actividad.4	actividad.5	actividad.6	actividad.7	actividad.8	actividad.9	actividad.10	actividad.11	actividad.12	actividad.13	actividad.14	actividad.15	actividad.16	actividad.17	actividad.18	actividad.19	actividad.20	actividad.21	actividad.22	actividad.23	actividad.24	actividad.25	actividad.26	actividad.27	actividad.28	actividad.29	actividad.30	actividad.31	actividad.32	actividad.33	actividad.34	TimeDomain_BodyAccelerometer_Mean_X.6	TimeDomain_BodyAccelerometer_Mean_X.7	TimeDomain_BodyAccelerometer_Mean_X.8	TimeDomain_BodyAccelerometer_Mean_X.9	TimeDomain_BodyAccelerometer_Mean_X.10	TimeDomain_BodyAccelerometer_Mean_X.11	actividad.35	actividad.36	actividad.37	actividad.38	actividad.39	actividad.40	actividad.41	actividad.42	actividad.43	actividad.44	actividad.45	actividad.46	actividad.47	actividad.48	actividad.49	actividad.50	actividad.51	actividad.52	actividad.53	actividad.54	actividad.55	actividad.56	actividad.57	actividad.58	actividad.59	actividad.60	actividad.61	actividad.62	actividad.63	actividad.64	actividad.65	actividad.66	actividad.67
WALKING_DOWNSTAIRS	10	0.290401594	0.290401594	0.290401594	0.290401594	0.290401594	0.290401594	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.290401594	0.290401594	0.290401594	0.290401594	0.290401594	0.290401594	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	10	0.267121853	0.267121853	0.267121853	0.267121853	0.267121853	0.267121853	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.267121853	0.267121853	0.267121853	0.267121853	0.267121853	0.267121853	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	11	0.280592971	0.280592971	0.280592971	0.280592971	0.280592971	0.280592971	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.280592971	0.280592971	0.280592971	0.280592971	0.280592971	0.280592971	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	11	0.276590197	0.276590197	0.276590197	0.276590197	0.276590197	0.276590197	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.276590197	0.276590197	0.276590197	0.276590197	0.276590197	0.276590197	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	11	0.277715563	0.277715563	0.277715563	0.277715563	0.277715563	0.277715563	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.277715563	0.277715563	0.277715563	0.277715563	0.277715563	0.277715563	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	11	0.271821893	0.271821893	0.271821893	0.271821893	0.271821893	0.271821893	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.271821893	0.271821893	0.271821893	0.271821893	0.271821893	0.271821893	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	11	0.291605632	0.291605632	0.291605632	0.291605632	0.291605632	0.291605632	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.291605632	0.291605632	0.291605632	0.291605632	0.291605632	0.291605632	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	11	0.263775859	0.263775859	0.263775859	0.263775859	0.263775859	0.263775859	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.263775859	0.263775859	0.263775859	0.263775859	0.263775859	0.263775859	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	12	0.260113433	0.260113433	0.260113433	0.260113433	0.260113433	0.260113433	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.260113433	0.260113433	0.260113433	0.260113433	0.260113433	0.260113433	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	12	0.275007225	0.275007225	0.275007225	0.275007225	0.275007225	0.275007225	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.275007225	0.275007225	0.275007225	0.275007225	0.275007225	0.275007225	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	12	0.277405835	0.277405835	0.277405835	0.277405835	0.277405835	0.277405835	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.277405835	0.277405835	0.277405835	0.277405835	0.277405835	0.277405835	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	12	0.277128666	0.277128666	0.277128666	0.277128666	0.277128666	0.277128666	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.277128666	0.277128666	0.277128666	0.277128666	0.277128666	0.277128666	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	12	0.281521097	0.281521097	0.281521097	0.281521097	0.281521097	0.281521097	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.281521097	0.281521097	0.281521097	0.281521097	0.281521097	0.281521097	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	12	0.272970339	0.272970339	0.272970339	0.272970339	0.272970339	0.272970339	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.272970339	0.272970339	0.272970339	0.272970339	0.272970339	0.272970339	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	13	0.27671636	0.27671636	0.27671636	0.27671636	0.27671636	0.27671636	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.27671636	0.27671636	0.27671636	0.27671636	0.27671636	0.27671636	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	13	0.2743285	0.2743285	0.2743285	0.2743285	0.2743285	0.2743285	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.2743285	0.2743285	0.2743285	0.2743285	0.2743285	0.2743285	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	13	0.277758431	0.277758431	0.277758431	0.277758431	0.277758431	0.277758431	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.277758431	0.277758431	0.277758431	0.277758431	0.277758431	0.277758431	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	13	0.27588313	0.27588313	0.27588313	0.27588313	0.27588313	0.27588313	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.27588313	0.27588313	0.27588313	0.27588313	0.27588313	0.27588313	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	13	0.294907553	0.294907553	0.294907553	0.294907553	0.294907553	0.294907553	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.294907553	0.294907553	0.294907553	0.294907553	0.294907553	0.294907553	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	13	0.25820394	0.25820394	0.25820394	0.25820394	0.25820394	0.25820394	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.25820394	0.25820394	0.25820394	0.25820394	0.25820394	0.25820394	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	14	0.23327544	0.23327544	0.23327544	0.23327544	0.23327544	0.23327544	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.23327544	0.23327544	0.23327544	0.23327544	0.23327544	0.23327544	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	14	0.279990577	0.279990577	0.279990577	0.279990577	0.279990577	0.279990577	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.279990577	0.279990577	0.279990577	0.279990577	0.279990577	0.279990577	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	14	0.280545614	0.280545614	0.280545614	0.280545614	0.280545614	0.280545614	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.280545614	0.280545614	0.280545614	0.280545614	0.280545614	0.280545614	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	14	0.271959599	0.271959599	0.271959599	0.271959599	0.271959599	0.271959599	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.271959599	0.271959599	0.271959599	0.271959599	0.271959599	0.271959599	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	14	0.293422116	0.293422116	0.293422116	0.293422116	0.293422116	0.293422116	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.293422116	0.293422116	0.293422116	0.293422116	0.293422116	0.293422116	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	14	0.262421066	0.262421066	0.262421066	0.262421066	0.262421066	0.262421066	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.262421066	0.262421066	0.262421066	0.262421066	0.262421066	0.262421066	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	15	0.289475653	0.289475653	0.289475653	0.289475653	0.289475653	0.289475653	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.289475653	0.289475653	0.289475653	0.289475653	0.289475653	0.289475653	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	15	0.27290338	0.27290338	0.27290338	0.27290338	0.27290338	0.27290338	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.27290338	0.27290338	0.27290338	0.27290338	0.27290338	0.27290338	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	15	0.278915804	0.278915804	0.278915804	0.278915804	0.278915804	0.278915804	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.278915804	0.278915804	0.278915804	0.278915804	0.278915804	0.278915804	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	15	0.273899208	0.273899208	0.273899208	0.273899208	0.273899208	0.273899208	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.273899208	0.273899208	0.273899208	0.273899208	0.273899208	0.273899208	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	15	0.280198851	0.280198851	0.280198851	0.280198851	0.280198851	0.280198851	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.280198851	0.280198851	0.280198851	0.280198851	0.280198851	0.280198851	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	15	0.270187596	0.270187596	0.270187596	0.270187596	0.270187596	0.270187596	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.270187596	0.270187596	0.270187596	0.270187596	0.270187596	0.270187596	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	16	0.274227163	0.274227163	0.274227163	0.274227163	0.274227163	0.274227163	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.274227163	0.274227163	0.274227163	0.274227163	0.274227163	0.274227163	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	16	0.280768574	0.280768574	0.280768574	0.280768574	0.280768574	0.280768574	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.280768574	0.280768574	0.280768574	0.280768574	0.280768574	0.280768574	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	16	0.283497403	0.283497403	0.283497403	0.283497403	0.283497403	0.283497403	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.283497403	0.283497403	0.283497403	0.283497403	0.283497403	0.283497403	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	16	0.276023565	0.276023565	0.276023565	0.276023565	0.276023565	0.276023565	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.276023565	0.276023565	0.276023565	0.276023565	0.276023565	0.276023565	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	16	0.295586802	0.295586802	0.295586802	0.295586802	0.295586802	0.295586802	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.295586802	0.295586802	0.295586802	0.295586802	0.295586802	0.295586802	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	16	0.255986103	0.255986103	0.255986103	0.255986103	0.255986103	0.255986103	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.255986103	0.255986103	0.255986103	0.255986103	0.255986103	0.255986103	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	17	0.269780086	0.269780086	0.269780086	0.269780086	0.269780086	0.269780086	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.269780086	0.269780086	0.269780086	0.269780086	0.269780086	0.269780086	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	17	0.27735702	0.27735702	0.27735702	0.27735702	0.27735702	0.27735702	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.27735702	0.27735702	0.27735702	0.27735702	0.27735702	0.27735702	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	17	0.277942503	0.277942503	0.277942503	0.277942503	0.277942503	0.277942503	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.277942503	0.277942503	0.277942503	0.277942503	0.277942503	0.277942503	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	17	0.272341855	0.272341855	0.272341855	0.272341855	0.272341855	0.272341855	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.272341855	0.272341855	0.272341855	0.272341855	0.272341855	0.272341855	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	17	0.293918283	0.293918283	0.293918283	0.293918283	0.293918283	0.293918283	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.293918283	0.293918283	0.293918283	0.293918283	0.293918283	0.293918283	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	17	0.252604769	0.252604769	0.252604769	0.252604769	0.252604769	0.252604769	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.252604769	0.252604769	0.252604769	0.252604769	0.252604769	0.252604769	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	18	0.274691577	0.274691577	0.274691577	0.274691577	0.274691577	0.274691577	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.274691577	0.274691577	0.274691577	0.274691577	0.274691577	0.274691577	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	18	0.277270019	0.277270019	0.277270019	0.277270019	0.277270019	0.277270019	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.277270019	0.277270019	0.277270019	0.277270019	0.277270019	0.277270019	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	18	0.278458806	0.278458806	0.278458806	0.278458806	0.278458806	0.278458806	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.278458806	0.278458806	0.278458806	0.278458806	0.278458806	0.278458806	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	18	0.273887759	0.273887759	0.273887759	0.273887759	0.273887759	0.273887759	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.273887759	0.273887759	0.273887759	0.273887759	0.273887759	0.273887759	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	18	0.288439469	0.288439469	0.288439469	0.288439469	0.288439469	0.288439469	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.288439469	0.288439469	0.288439469	0.288439469	0.288439469	0.288439469	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	18	0.265401202	0.265401202	0.265401202	0.265401202	0.265401202	0.265401202	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.265401202	0.265401202	0.265401202	0.265401202	0.265401202	0.265401202	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	19	0.272653733	0.272653733	0.272653733	0.272653733	0.272653733	0.272653733	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.272653733	0.272653733	0.272653733	0.272653733	0.272653733	0.272653733	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	19	0.273830316	0.273830316	0.273830316	0.273830316	0.273830316	0.273830316	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.273830316	0.273830316	0.273830316	0.273830316	0.273830316	0.273830316	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	19	0.27817226	0.27817226	0.27817226	0.27817226	0.27817226	0.27817226	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.27817226	0.27817226	0.27817226	0.27817226	0.27817226	0.27817226	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	19	0.273931172	0.273931172	0.273931172	0.273931172	0.273931172	0.273931172	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.273931172	0.273931172	0.273931172	0.273931172	0.273931172	0.273931172	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	19	0.262688054	0.262688054	0.262688054	0.262688054	0.262688054	0.262688054	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.262688054	0.262688054	0.262688054	0.262688054	0.262688054	0.262688054	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	19	0.242118809	0.242118809	0.242118809	0.242118809	0.242118809	0.242118809	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.242118809	0.242118809	0.242118809	0.242118809	0.242118809	0.242118809	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	20	0.239507882	0.239507882	0.239507882	0.239507882	0.239507882	0.239507882	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.239507882	0.239507882	0.239507882	0.239507882	0.239507882	0.239507882	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	20	0.278045439	0.278045439	0.278045439	0.278045439	0.278045439	0.278045439	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.278045439	0.278045439	0.278045439	0.278045439	0.278045439	0.278045439	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	20	0.278076905	0.278076905	0.278076905	0.278076905	0.278076905	0.278076905	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.278076905	0.278076905	0.278076905	0.278076905	0.278076905	0.278076905	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	20	0.272589336	0.272589336	0.272589336	0.272589336	0.272589336	0.272589336	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.272589336	0.272589336	0.272589336	0.272589336	0.272589336	0.272589336	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	20	0.296144421	0.296144421	0.296144421	0.296144421	0.296144421	0.296144421	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.296144421	0.296144421	0.296144421	0.296144421	0.296144421	0.296144421	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
